full_text,sentimen,kategori
Penguatan Pendidikan Karakter Melalui PEMBELAJARAN ONLINE DI MASA PANDEMI COVID–19 https://t.co/t8Sub5HwaA,positif,Comitment
Nakula Edu Hadirkan Pembelajaran Online Ditengah Pandemi Covid-19 https://t.co/h22JwL3ADs via @rri.co.id,positif,Control 
"Refleksi Hardiknas Ditengah Pandemi Covid -19, Dinas Pendidikan Sumenep: Ini Pembelajaran Bagi Siswa Ikuti Protokol Kesehatan | MEMO online https://t.co/UeNQAg82sB",positif,Comitment
"Di tengah pandemi Covid-19 sudah beberapa minggu atau bulan ini siswa harus belajar dari rumah, pembelajaran online (Daring), beberapa siswa dan orang tua banyak yang mengeluhkan karena kesulitan akses internet terutama yang di pelosok, meski demikian pembelajaran harus berjalan. https://t.co/tcY3w07hlA",negatif,Composure
"“Belajar dari Covid-19”

Dalam konteks kegiatan belajar mengajar di masa pandemi, saat ini kita dituntut untuk bisa beradaptasi dengan pembelajaran online sebagai metode pengajaran. https://t.co/BEP5jEJyUa",positif,Comitment
"DONASI BUKU kepada SMP N Satap Pedak 

Alhamdulillah Hima fisika berpartisipasi dalam berlangsungnya kegiatan Pelatihan Pembelajaran Online melalui donasi buku untuk mendukung kegiatan belajar di rumah oleh GGD Kab. Manggarai Timur dalam masa pandemi COVID-19. Semoga bermanfaat.. https://t.co/T5xuCxn05f",positif,Comitment
"#2 
1. Memperpanjang kembali waktu pembelajaran jarak jauh/online bagi peserta didik SMA/MA, SMK/MAK dan SLB mulai 29 April 2020-15 Mei 2020.
.
2. Selama pandemi COVID-19 dan Ramadan, kegiatan belajar mengajar SMA, SMK, dan SLB di DIY dilakukan secara jarak jauh/online.
.",positif,Control 
Apakah @Itjen_Kemdikbud  sdh menelaah Permendikbud nomor 19 tahun 2020? Apakah benar Kemendikbud mendukung penggunaan dana bos u/ bayar layanan pendidikan daring berbayar saat pandemi covid-19? Knp krg mendukung pembelajaran online milik pustekom? Tolong dijawab ya https://t.co/MulmTOL4x0,negatif,Composure
Menurunnya Pemahaman Pelajar Pasca-Pembelajaran Online di Tengah Pandemi Penyebaran Covid-19 https://t.co/kxlXKPgid4 | NgeblogDiRumah,negatif,Composure
"(+) Para Guru Tidak Tetap (GTT) dan Pegawai Tidak Tetap (PTT) di Kabupaten Mojokerto mengeluhkan beban biaya akses internet selama pembelajaran online saat pandemi Covid-19.

(-) Bayaran wes ndek ngisore UMR, sek… https://t.co/WXEJwgrc1D",negatif,Composure
"Selama pandemi COVID-19, siswa/i SMK TI Bali Global Badung aktif melakukan #BelajarDiRumah dengan menerapkan pembelajaran daring/online di rumah masing-masing.

Dengan adanya teknologi informasi, belajar selama… https://t.co/LKVmHLDpie",positif,Comitment
#KalimantanPost Kreativitas Guru Kunci Sukses Pembelajaran Online Saat Pandemi Covid-19 https://t.co/BxskzPBgrb,positif,Comitment
"Semua lembaga pendidikan menerapkan sistem pembelajaran online selama masa pandemi Covid-19. Meski begitu, tidak ada pengurangan pembayaran biaya SPP di sekolah swasta.

https://t.co/3ZTmBLEBVM",negatif,Composure
"Pandemi Covid-19 merevolusi cara pandang baru terhadap semua sendi kehidupan: pembelajaran berbasis online, perdagangan berbasis online, par excellence higienitas tubuh dan lingkungan, silaturahmi berbasis online, rapat berbasis online, dan lain sebagainya.",positif,Comitment
Komisioner KPAI (Komisi Perlindungan Anak Indonesia) Retno Listyawati mengatakan ada 213 pengaduan selama tiga pekan pembelajaran jarak jauh (PJJ) atau belajar online (daring) selama pandemi Covid-19. https://t.co/O7EasbkN76,negatif,Composure
"Selama Masa Darurat Pandemi COVID-19,  hal ini merupakan aspirasi Mahasiswa Universitas Riau yang disampaikan melalui BEM UNRI kepada Pimpinan Universitas Riau, agar adanya SOP/Panduan Kuliah Online serta Platform Utama sebagai acuan Pembelajaran Jarak Jauh (PJJ).",positif,Comitment
2 jurnal peneliti saya ini bisa dijadikan referensi untuk pembelajaran online di masa pandemi Covid 19 &gt; https://t.co/8ZXZXjvAc9,positif,Control 
"Rapat Pimpinan Unud berlangsung secara online melalui Cisco Webex dipimpin oleh Rektor Prof. A.A Raka Sudewi membahas evaluasi sistem pembelajaran online dan dampak pandemi Covid-19 serta beberapa agenda lainnya,… https://t.co/DnpkOBksEX",positif,Control 
"Selama pembelajaran berbasis online, SMK Pariwisata Dalung  telah menggunakan berbagai macam aplikasi. Ini dilakukan ditengah situasi pandemi Covid-19 yang mengharuskan siswa untuk belajar di rumah secara… https://t.co/ihOQwDH8W0",positif,Comitment
"[KULIAH ONLINE]

Hello Industrial Engineers🙌🙌🙌 Sehubungan dengan adanya perubahan sistem pembelajaran menjadi perkuliahan daring selama pandemi Covid-19, maka yang perlu disiapkan untuk pelaksanaan kuliah daring yaitu :

1. Kuota internet / Wifi... https://t.co/tIUGmR1YwV https://t.co/hlqwpsqiUn",positif,Comitment
"Pembelajaran Online di Tengah Pandemi Covid-19, Tantangan yang Mendewasakan | TIMES Indonesia https://t.co/3pkRCpFyPh",positif,Comitment
-ness disini ada yg merasa stres akibat pandemi covid-19 ini gak ya? stres disini luas kok kaya misal kalian jd gbs keluar/ pembelajaran dilakukan scr online gituu. makasiyy,negatif,Composure
"Kementerian Pendidikan dan Kebudayaan meminta kepada guru agar pembelajaran dalam jaringan (daring) atau online yang dilakukan selama pandemi covid-19, jangan dipersulit.

#Validnews

https://t.co/Lux44IOOJn",positif,Comitment
"Dengan adanya pandemi Covid-19, Kampus IAIN Tulungagung memilih jalur alternatif pembelajaran daring (online). Keefektifan pembelajaran daring menjadi persoalan bagi beberapa dosen dan mahasiswa, seperti banyaknya… https://t.co/Az9dhE1qWT",positif,Composure
"secara online dengan platform diatur oleh fakultas masing-masing, namun akan dievaluasi mengikuti perkembangan wabah pandemi Corona Virus Disease (COVID- 19);

3. Perlu disusun Pedoman dan Peraturan tentang Pembelajaran Jarak Jauh (PJJ) melalui sistem Daring di Universitas Riau;",positif,Control 
"#StopTunggangiCorona
Mungkin adanya pandemi Covid-19 ini sebagai jawaban bagi seorang yang ngeyel bahwa pembelajaran online itu sangat efektif dan efisien. Modyar koee..",negatif,Composure
Pandemi Corona COVID-19 di Indonesia membuat banyak sekolah melakukan KBM secara online. Kemendikbud mengatakan telah melakukan kerja sama dalam penyelenggaraan pembelajaran secara online dengan berbagai pihak. #Kemendikbud https://t.co/Xg1wES4F55,positif,Control 
"Cegah pandemi COVID-19, lebih 57 ribu sekolah di AS tutup, mempengaruhi sekitar 25,8 juta murid. Ratusan universitas juga mengalihkan pembelajaran menjadi kelas online.

Menurut kamu, apakah tes Virus Corona perlu dipermudah? https://t.co/5vsdTxmyRI",negatif,Composure
"Wakil Gubernur DKI Jakarta @ArizaPatria mempersilakan siswa untuk memilih belajar dari rumah apabila khawatir terpapar Covid-19.

Terlebih lagi, saat ini sudah ada 162 kasus Covid-19 varian Omicron yang dinilai jauh lebih cepat penularannya. https://t.co/xPXtvqwHa6",negatif,Composure
"Belajar dari kasus banjir dan covid di Malaysia. Secara infrastructure mereka memang lebih dulu membangun bahkan lebih modern, jadi rumah untuk bangunan tertinggi terbanyak di dunia. 

Namun kalau tidak diimbangi dengan basic infra serta pemerintah yg tangguh maka kasihan rakyat",negatif,Composure
"Pandemi Covid-19 rupanya memberikan berkah bagi importir laptop. Kebijakan bekerja dan belajar dari rumah membuat impor alat kerja tersebut melonjak tajam.

- Sebuah Utas -

#HanyaLokadata https://t.co/oXMZXwtUFJ",negatif,Composure
"Dua hari lalu, pas momen hari anak berhasil membujuk adik adik ini untuk vaksin Covid-19 di Posko Solidaritas PSI yang berlokasi di SMK Strada. Bersiap agar bisa masuk sekolah ke sekolah, gak belajar dari rumah aja ;)

Yuk ajak anak anak vaksin di Posko ⁦@PSI_Jakarta⁩ https://t.co/wGFQ8AcQYi",positif,Comitment
Kebijakan Belajar dari Rumah selama masa pandemi Covid-19 membuat kegiatan belajar mengajar dilakukan secara online sehingga intensitas anak dalam mengakses gawai dan internet meningkat pesat. https://t.co/GylfFum6yn,negatif,Composure
"Selamat Hari Pendidikan Nasional, Reonites!

Tetap semangat belajar bagi kamu semua yang saat ini harus menjalani kegiatan belajar mengajar dari rumah karena pandemi Covid-19 ini!

#haripendidikannasional https://t.co/qZZMPogcv8",positif,Control 
Bila akibat Covid-19 masyarakat harus “belajar &amp; bekerja dari-rumah” maka adanya listrik &amp; fasilitas telekomunikasi menjadi kebutuhan primer bagi pendidikan &amp; bekerja utk nafkah-hidup. Bisakah Pemerintah izinkan masyarakat membangun fasilitas listrik &amp; telekom ini secara bebas?,positif,Control 
"Belajar dari rumah saja, Cegah Covid 19
#polsekpekutatanbersinar
#cegahcovid19 https://t.co/wmRNUgRK0r",positif,Comitment
"Patrick Bamford mendonasikan uang sebesar £5000 atau sekitar 96 juta Rupiah kepada Beeston Primary School. Nantinya, donasi dari Bamford akan digunakan untuk membeli iPad dan dipinjamkan kepada murid yang kesulitan belajar di rumah karena Covid. https://t.co/QsGlIgXnUl",positif,Comitment
"Belajar dari rumah bisa memutus rantai penyebaran covid-19, semangat belajar..
#DiktiMengajarDariRumah 
#diktidutaedukasiperubahanperilaku https://t.co/iZtch3grki",positif,Confidience
"Belajar dari rumah selama masa covid-19 memberi banyak pengalaman yg indah.
#diktimengajardarirumah 
#diktidutaedukasiperubahanperilaku https://t.co/zhMQWNmqRk",positif,Confidience
"Anjuran untuk bekerja dan belajar dari rumah di tengah pandemi COVID-19 mengajak kita untuk kreatif dalam mencari kegiatan yang produktif dan menyenangkan.

Berikut 3 kegiatan produktif yang bisa dilakukan #dirumahaja!

#magang #internship #thinktank #wfh https://t.co/zRhN55EYVA",positif,Control 
Masa Belajar Dari Rumah (BDR) akibat trend kenaikan angka kasus covid-19 di Lotim diperpanjang sampai tanggal 27 Agustus. Bupati meminta guru lebih rajin memberi bimbingan pembelajaran ke rumah siswa.⁣ https://t.co/CPrruo5FRd,positif,Control 
"Hari ini {07/03/22} kembali Beraktifitas lagi bersekolah sebelumnya saya belajar dari rumah karena ada klaster covid di sekolah.

Semoga dengan lonjakan kasus covid-19 bisa melakukan evaluasi lebih tegas lagi,apalagi kasus di kota saya tembus 1.000 Rekor

Selamat Beraktifitas
#FN https://t.co/GttQTuNNGc",positif,Comitment
"Sejak perintah kawalan pergerakan (PKP) dikuatkuasakan akibat pandemik Covid-19 hampir setahun yang lalu, anak-anak telah membiasakan diri belajar dari rumah, guru-guru mengajar, memberi latihan dan nota atas talian. https://t.co/2s6xgc2Ep4",positif,Confidience
"Seiring dengan terus menurunnya kasus Covid 19,Pemerintah memutuskan untuk membuka kembali Pembelajaran tata muka tentunya dengan pembatasan dan terapkan protokol kesehatan  PTM sangat baik untuk menumbuhkan karakter anak yg slama ini hanya belajar dari rumah. https://t.co/jJGULKY4bl",positif,Confidience
"[SHARING IS CARING]

Kondisi Indonesia akibat pandemi Covid-19 masih belum pulih. Menjalani home learning atau belajar dari rumah selama masa pandemi Covid-19 menjadikan anak-anak sering menggunakan gadget untuk mendukung sistem belajar yang baru. https://t.co/T0MVDSiQbp",negatif,Composure
"#SahabatPMK, Guna mendukung belajar dari rumah selama masa pandemi Covid-19, @Kemdikbud_RI memiliki sejumlah modul pembelajaran yang bisa diunduh secara gratis lho. Seperti eModul SMA yang bisa #SahabatPMK akses melalui laman https://t.co/lek98RiooO 
#KemenkoPMK #MerdekaBelajar https://t.co/FhLUK5BE9O",positif,Control 
"Selamat Hari Anak Nasional 2021 untuk seluruh anak hebat di Indonesia.

Lebih dari 70 juta anak Indonesia merasakan dampak pandemi Covid-19, mereka tidak bebas bermain dan sebagian harus belajar dari rumah. Bersama kita lindungi dan berikan cinta kasih pada anak.

#MNCNetworks https://t.co/lEbU7SYAZS",positif,Composure
"(1/2) #SobatVokasi, kegiatan belajar dari rumah karena pandemi covid-19 saat ini memang sangat berbeda dengan pertemuan belajar tatap muka, &amp; tentu perlu adaptasi, tapi ternyata belajar dari rumah memberikan segudang manfaat loh. #BeritaVokasi #VokasiUntukNegeri https://t.co/clMnwhjdsP",positif,Confidience
"Senang sekali bisa mendampingi adek adek belajar walau belajar dari rumah dikarenakan adanya pademi covid antusias adek adek yang penuh semangat untuk belajar

#DiktiMengajarDariRumah #DiktiDutaEdukasiPerubahanPerilaku https://t.co/qV4pWW4bDe",positif,Control 
"Pada kesempatan ini saya sangat senang katena saya bisa membagikan ilmu yang saya dapatkan bagi keluarga saya apa lagi saat ini anak didik belajar dari rumah selama covid 19
#diktimengajardarirumah 
#diktidutaedukasiperubahanperilaku https://t.co/x9NysqHT68",positif,Control 
"Senang sekali bisa membantu adik-adik belajar dari rumah walaupun dalam kondisi covid 19 saat ini. tetap semangat belajar dan ingat pesan ibu 3M
#DiktiMengajarDariRumah #DiktiDutaEdukasiPerubahanPerilaku https://t.co/uUTTBAj4Ur",positif,Confidience
"Belajar dari rumah selama masa pandemi Covid-19 ini memberikan ppengalaman baru dan mendampingi mereka selama belajar di rumah 

#diktimengajardarirumah 
#diktidutaedukasiperubahanperilaku https://t.co/qdoGVK8GSm",positif,Control 
Sudah 9 bulan berlalu sejak para murid Rumah Belajar YCAB belajar jarak jauh dari rumah karena adanya pandemi covid-19. Faozan adalah salah satu murid Rumah Belajar penyandang disabilitas yang kurang beruntung dalam hal ekonomi. https://t.co/RkNBGNxhYj,negatif,Composure
"Melalui program ini saya bisa mengabdi untuk negeri terutama dalam bidang pendidikan dengan program belajar dari rumah ditengah wabah covid-19 

Selalu tarapkan 3M
Mencuci tangan
Memakai masker
Menjaga Jarak
#DiktiMengajarDariRumah #DiktiDutaEdukasiPerubahanPerilaku https://t.co/s33umCOTCm",positif,Comitment
"Pandemi covid-19 mengharuskan anak-anak untuk belajar dari rumah guna memutus penyebaran virus corona. Sebagai seorang pemuda-pemudi yang memberikan kontribusi kepada Negeri saya memutuskan untuk mengikuti program MDR
#diktimengajardarirumah
#diktidutaedukasiperubahanperilaku https://t.co/3E7qD0aIfq",positif,Comitment
"Assalamu'alaikum teman Labschool. ☺

Memfasilitasi peningkatan mutu pendidikan di sekolah dasar khususnya pelaksanaan Belajar Dari Rumah (BDR) pada masa pandemi Covid-19, Direktorat Sekolah Dasar menyusun naskah praktik baik pelaksanaan belajar dari rumah. https://t.co/j4NOJqIqTW",positif,Comitment
Masa Pandemi COVID-19 gini tuh belajar dari rumah. Bukan belajar dari Iqbal.,positif,
"Bismillah. Proses Masa Pengenalan Lingkungan Sekolah (MPLS)  SMA/SMK di seluruh Jawa Timur  dimulai hari ini  Senin (13/7/2020). Karena masih dalam situasi pandemi Covid-19, maka MPLS  dilakukan secara virtual atau belajar dari rumah (BDR). https://t.co/7CNfeX8D6V",positif,Control 
"China menghadapi situasi yang sangat sulit, negara tersebut kembali mengalami peningkatan jumlah kasus Covid-19 di sejumlah kota, pemerintah China kembali wajibkan warganya untuk melakukan tes swab dan pelajar di China wajib belajar dari rumah melalui online.",positif,Comitment
"Kasus Covid-19 di China kembali mengalami peningkatan kasus, akibatnya pemerintah China tetap mempertahankan kebijakan nol Covid-19 di negaranya, kabar terbaru menyebutkan China tutup semua sekolah dan kampus, semua pelajar di China wajib belajar online dari rumah.",positif,Comitment
"Kasus harian Covid-19 di ibukota Beijing kembali mengalami peningkatan kasus, pemerintah kota Beijing desak warganya untuk kembali bekerja dan belajar dari rumah, China kembali melakukan penutupan ibukota Beijing, setelah adanya peningkatan kasus Covid-19 di Beijing.",positif,Comitment
"Sejumlah siswa di Beijing, China kembali belajar daring dari rumah sebab sekolah ditutup menyusul naiknya kasus Covid-19. #TempoDunia https://t.co/bSrF2JBUa8",positif,Comitment
"TBM Ronaa Luncurkan  ""RUMIT 
( Rumpi Literasi) Layanan Siniar Literasi Masyarakat 

""RUMIT ( Rumpi Literasi) siniar (podcast) Literasi sebagai bentuk inovasi dan bagian dari program Layanan Belajar dan Informasi dari Rumah di masa Pasca Pandemi pandemi Covid-19. https://t.co/jbyS9Ydkwd",positif,Control 
"@collegemenfess dari awal covid ampe gue bikin proposal skripsi onlen terus. ampe kenyang denger bokap ngomel tiap bayar semesteran, ""bayar apaan? kuliah ngga. di rumah mulu. belajar apaan di rumah mulu ngga ke kampus?"" 😌🙏🏻",negatif,Composure
"PAUD merupakan langkah awal yang penting bagi anak untuk mempersiapkannya memasuki dunia pendidikan. Orang tua pun perlu terlibat penuh dalam setiap prosesnya, terutama ketika anak harus belajar dari rumah karena kondisi pandemi (Covid-19) https://t.co/UcQNmpr49v",positif,Comitment
"penurunan mutu pendidikan pada saat pandemi COVID-19 karena banyak peserta didik, tenaga kependidikan, tenaga pendidik melaksanakan belajar dari rumah yang mana proses pembimbingan oleh guru menjadi kurang optimal https://t.co/BiTCuF68bn",negatif,Composure
"Dua tahun covid bikin nyaman belajar dari rumah ga si? 🥲

#MMS",negatif,Control 
"Bayangin nih Hell, gw masih punya adek SD, kemaren pas covid, sekolah adek gw kan belajar dari rumah, mau nggak mau gw harus bantu-bantu deh ngajarin"".",negatif,Comitment
Di masa pandemi Covid-19 siaran radio juga digunakan sebagai salah satu sarana pembelajaran saat peserta didik harus belajar dari rumah bersama-sama dengan berbagai platform digital yang sedang marak.,positif,Control 
Salah satu impact Pandemi COVID-19 yang paling berpengaruh di aku adalah mengharuskan belajar dari rumah #ApaGunaDigital #OnlineUntukApa https://t.co/neQ1DY5Qlw,positif,Comitment
"Pandemi Covid-19 ga selamanya berdampak negatif. Salah satu dampak positifnya adalah munculnya inovasi untuk belajar dari rumah lewat berbagai aplikasi, seperti Zoom dan Google Meet. #ApaGunaDigital
#OnlineUntukApa https://t.co/ccyeJeVUb7",positif,Control 
"Pada waktu masa wabah Cobid19, olah raga cukup dilaksanakan di lingkungan sekolah. Jika ada kejadian akibat wabah Covid 19, maka olah raga dilaksanakan melalui daring. Siswa belajar dari rumah untuk menunggu wabah reda kembali, agar dapat dikerjakan di sekolah lagi sebagai PTM.",positif,Comitment
"Hari ini anak saya murid SD diberlakukan lagi ""BDR"" belajar dari rumah karena kasus Covid-19 naik lagi. Dia kehilangan semangat belajar karena yang biasanya interaksi dengan teman, lalu mendadak sendiri.",negatif,Composure
15.34: #SSInfo Murid SD di Singapura kembali belajar dari rumah selama 10 hari mulai (25/9/2021) akibat lonjakan kasus Covid-19. Per Jumat (17/9/2021) kasus positif di Singapura mencapai 935 kasus atau rekor tertinggi sejak April tahun lalu.(Antara/odp-is),negatif,Composure
"Jika orang tua murid belum mau anaknya mengikuti PTM terbatas, maka sekolah harus menyiapkan hybrid, sebagian belajar tatap muka di sekolah, sebagian daring dari rumah.

Semoga pandemi Covid-19 segera tertangani, semua aktivitas berjalan normal.

🔸Peran DPR
#DPRuntukNegeri",positif,Control 
"Sudah masuk tahun ke-2 belajar dari rumah, pelajaran tunggang-langgang, yang ambil SPM pun tak tahu jawab apa. Budak darjah 1 tak reti membaca. Semua sebab #KerajaanGagal uruskan Covid-19.

Tapi Ahli Parlimen kerajaan pula hantar anak sekolah luar negara. Kasihan rakyat.",negatif,Composure
"Saya ke luar negera untuk daftar anak masuk sekolah, ikut protokol - Nazri https://t.co/b0CV52GVpy",positif,Control 
Tujuan utama bantuan kuota Kemendikbud ini adalah agar menunjang pelaksanaan belajar dari rumah dimasa pandemi covid-19 ini 👍 https://t.co/mzVHOlCX4D,positif,Comitment
"Seberapa efektif kebijakan belajar dari rumah untuk mengurangi penyebaran Covid-19? Apa saja dampaknya?

Dengarkan diskusi bersama narasumber dari PKPA, USU, dan EOCRU hanya di Episode 2 Podcast #NgobrolSERU!

Part 1: https://t.co/WZzayNF65s
Part 2: https://t.co/jzO6XWyVEr https://t.co/kSxhdbXHan",positif,Control 
laptop tu bagi jelah. ingat dah buka sekolah tak jadi bagi ke apa? ingat covid ni dah selesai dah ke? kalau buatnya kes makin meningkat kena belajar dari rumah semula macam mana?,negatif,Composure
"Menemani anak belajar dari rumah di tengah pandemi COVID-19 memang tidak selalu mudah ya, Moms and Dads?

Selain membimbing, Moms dan Dads jadi punya tugas ekstra untuk menjaga si kecil tetap fit walau banyak beraktivitas di depan layar laptop. https://t.co/3nYCaf6gl1",positif,Composure
"TERNYATA, Hasil survei menunjukkan mayoritas psikologis siswa normal selama proses belajar dari rumah karena pandemi Covid-19. 
⁣
#psikologianak #pendidikananak #sekolahindonesia  #semangatsekolah #sekolahonline #trainingsekolah #trainingguru  #parentingindonesia #PArentingTips https://t.co/zB8grtWrgM",positif,Confidience
"Belajar dari rumah sangat strategis di lakukan di tengah pendemi covid-19 untuk menghindari dan mencegah penularan covid-19 dan orang tua murid sangat bangga dengan adanya belajar dari rumah

#diktimengajardarirumah 
#diktidutaedukasiperubahanperilaku https://t.co/IlORXYD0Y1",positif,Confidience
"Buat adik adik tetap semangat, meskipun belajar dari rumah dan terhalang oleh covid- 19 ,  jangan pernah merasa bosan karena belajar itu penting. 

#diktimengajardarirumah 
#diktidutaedukasiperubahanperilaku https://t.co/9LFMzvHFqs",positif,Comitment
"Pembelajaran tatap muka hari pertama dilaksanakan di Kota Pekanbaru setelah delapan bulan belajar dari rumah akibat pandemi covid-19. Siswa yang diizinkan kembali ke sekolah hanya siswa kelas 9. 

#beritaPKU https://t.co/IZXfNBGKXj",positif,Control 
"[Tips Belajar Dari Rumah Di Masa Pandemi Covid-19]

Halo, salam sehat!
Sekarang ini masih banyak teman- teman yang belajarnya masih dari rumah selama masa pandemi Covid-19 ini. Nah berikut beberapa tips belajar dari rumah di masa pandemi Covid-19. https://t.co/dMMS9eFc3I",positif,Comitment
"Selain itu, Presiden dan Ibu Negara juga mengajak anak2 Indonesia untuk tetap semangat belajar dari rumah dan berdoa agar pandemi Covid-19 ini dapat segera berlalu sehingga anak-anak Indonesia dapat kembali berkumpul bersama guru dan teman2nya di sekolah.
#HariAnakNasional2020 https://t.co/1ZHzBToxHK",positif,Confidience
Satgas Imbau Siswa Bergejala Covid-19 Belajar dari Rumah  https://t.co/6bBodW71Ro,positif,Composure
"@detikcom @detik_jabar Dengan kasus ini, dan kasus kasus pembullyan lainnya, ko bisa ya ni negara masi ngurusin covid gjls yg variannya makin kesini makin kesana kek nama nama zodiak, abis itu anak anak sekolah suru pada belajar dirumah, gak mikir ya ini semua juga impact dari belajar di rumah,",negatif,Composure
"sebenarnya sebelum covid pun juga udah pulang sore, jadi ya wajar kalo abis covid pada shock pulang sore, mereka sudah terbiasa belajar dari rumah dan selesai lebih awal, gpp semua butuh proses dan waktu untuk bisa terbiasa
btw itu kurikulum apa ya?",positif,Control 
"Tau sendiri kan, pandemi 3 tahun kemarin, damagenya gede banget. Ga cuma tentang banyak orang tua yg kehilangan pekerjaan, jualan sepi, kantor pada WFH, atau banyak orang yg terpapar covid. Sekolah pada diliburin, yang artinya belajar dari rumah, membatasi ruang gerak anak",negatif,Composure
"Setelah hampir 2 tahun belajar dari rumah, anak2 gw excited skrg udah offline school. Gak taunya ada kasus covid lagi di sekolahan 🤦🏻‍♂️",negatif,Composure
"Walikota Beijing batal membuka kembali kegiatan belajar mengajar secara tatap muka di Beijing, setelah adanya laporan tentang kenaikan kasus harian Covid-19 di ibukota China tersebut, pelajar dan mahasiswa masih harus belajar dari rumah secara online di rumahnya.",negatif,Control 
"mau cerita, dulu semenjak awal” covid naik terus belajar dari rumah, pola tidur gue mulai berantakan banget. gue bisa baru tidur jam 3 bahkan jam 6 subuh, setiap harinya",negatif,Control 
"Pandemi Covid-19 yang menimpa negara-negara di seluruh dunia tentu membawa perubahan situasi dan kebiasaan. Awalnya, masyarakat perlu membiasakan diri untuk bekerja dan belajar dari rumah dan melakukan komunikasi secara online. https://t.co/cMhmBdG76i",positif,Control 
"India kembali mewajibkan warganya untuk memakai masker selama mereka bekerja di kantor atau tempat pekerjaan mereka,para pelajar dan mahasiswa di India di wajibkan belajar dari rumah, India kembali mengalami peningkatan jumlah kasus baru Covid-19 varian omicron BA.2.",positif,Composure
@pantaugambut Dulu saya sudah belajar dari rumah dan pakai masker sebelum covid wkwkw,negatif,Confidience
"Deteksi Kasus Covid, Siswa di Korut Belajar dari Rumah https://t.co/B5pCRpAuvL",negatif,Control 
@collegemenfess Engga sih Kampusku dari sebelum covid udh nerapin ini 16 pertemuan offline 4 pertemuan online. Waktu online sudah dikasih jelas kapan mahasiswa ga perlu ke kelas cukup belajar dari rumah / jauh. Bagi mahasiswa kami ini worth karena bisa kuliah sambil nyantai 😙💕.,positif,Confidience
"Selamat Hari Pendidikan Nasional.

Pandemi COVID-19 mengajarkan kita untuk terus belajar dan menyesuaikan diri, seperti kutipan dari Ki Hajar Dewantara “Setiap orang menjadi guru, setiap rumah menjadi sekolah.”

Mari tetap semangat dan giat belajar Sahabat JEC. https://t.co/KERgYtkOOz",positif,Confidience
"Wakil Gubernur DKI Jakarta, Ahmad Riza Patria membolehkan siswa di wilayah ibukota untuk belajar dari rumah jika khawatir tertular Covid-19. | #Megapolitan  

https://t.co/T8wmXgolNf",positif,Control 
"Pemkot Bandung menghentikan sementara PTM di sejumlah sekolah menyusul temuan kasus COVID-19.

Wah, teman-teman di Bandung kembali belajar dari rumah lagi, ya. 

https://t.co/mVzCZZFf1c",negatif,Composure
Sudah hampir dua tahun kegiatan belajar mengajar formal tak lagi dilakukan secara tatap muka. Pandemi COVID-19 memaksa siswa belajar dari rumah saja. #eLife  https://t.co/E8SgeqiW1P,negatif,Composure
Bantuan Subsidi Kuota internet diperpanjang seiring dengan lonjakan kasus Covid-19 yang membuat pemerintah mengambil langkah PPKM Darurat. Kebijakan ini mebuat kegiatan belajar dan mengajar kembali dilakukan dari rumah.,negatif,Control 
"Asik, Pemerintah Perpanjang Subsidi Kuota Internet Belajar Hingga Akhir 2021
https://t.co/3IdKjNRlzR https://t.co/SvIEcqEvL8",positif,Comitment
"So starting today our little family will do PKP kendiri, for 1@2@3 weeks not sure yet maybe till the covid cases reduce a bit. Aku &amp; wife kerja dari rumah, dani belajar dari rumah eventho still boleh hantar g school but we decide not to, Asytar pon kitorg x hantar ke babysitter.",positif,Composure
Dengan adanya program MDR ini sangat membantu para peserta didik belajar dari rumah ditengah pandemi covid-19 #diktimengajardarirumah #diktidutaedukasiperubahanperilaku https://t.co/p6ejYBDC06,positif,Confidience
"Dengan adanya Covid 19 aktivitas dirumah belajar dari rumah
Jangan lupa selalu berdoa agar Covid segera hilang❣
Stay Safety
#diktimengajardarirumah #diktidutaedukasiperubahanperilaku https://t.co/TsJNXlmpDa",positif,Comitment
"Pengalaman baru Mengajar Dari Rumah..dengan MDR murid bisa belajar di pandemi covid ini walaupun dari rumah tetapi bisa membantu murid tetap bisa belajar 
#DiktiMengajarDariRumah
#diktidutaedukasiperubahanperilaku https://t.co/M9sABIsYFs",positif,Control 
"Selamat memperingati Hari Guru Nasional 2020. Tahun ini, proses belajar mengajar dilakukan secara daring (belajar dari rumah) untuk mencegah penularan Covid-19. Namun kendala itu tidak menyurutkan semangat para guru untuk tetap memberikan transfer ilmu kepada murid-muridnya. https://t.co/kNXM41wUF8",positif,Confidience
"Kolega dosen dari dept epidemiologi @fkmunair aktif mengajar dari rumah. Sangat dicintai mahasiswa2nya, mengajar dengan sabar dan jelas dg contoh2 wabah Covid-19. Wabah telah menjadi contoh nyata, agar semua bisa belajar. Data nyata bantu meningkatkan pemahaman ilmu yg kompleks. https://t.co/TqGGZXCrz2",positif,Control 
"Selain mata lelah, nyeri di leher dan di pinggang juga banyak dikeluhkan selama bekerja dan belajar dari rumah akibat pandemi Covid-19. Kerja di rumah tentu berbeda dengan di kantor. Tak ada kursi kerja yang empuk dan nyaman dan layar monitor berukuran besar seperti biasanya. https://t.co/T3zVzX19QX",positif,Composure
